Store,Medicine,Category,Quantity,ExpiryDate,LastUpdated,Region,State,StoreSize,StoreTier
ST001,Fluticasone_100mg_Tablet,Respiratory,20,2029-04-24,2025-08-19,Northeast,MA,Medium,Rural
ST001,Ketoconazole_25mg_Liquid,Dermatological,0,2026-09-04,2025-08-21,Northeast,MA,Medium,Rural
ST001,Oxycodone_200mg_Injection,Pain Management,10,2025-04-03,2025-09-06,Northeast,MA,Medium,Rural
ST001,Amoxicillin_Pediatric_100mg_Cream,Pediatric,103,2026-01-17,2025-08-14,Northeast,MA,Medium,Rural
ST001,Exelon_50mg_Capsule,Geriatric,104,2029-01-30,2025-09-03,Northeast,MA,Medium,Rural
ST001,Dipyridamole_200mg_Injection,Hematology,3,2027-05-07,2025-09-10,Northeast,MA,Medium,Rural
ST001,Calcipotriene_25mg_Capsule,Dermatological,77,2027-01-25,2025-08-15,Northeast,MA,Medium,Rural
ST001,Calcium_Chloride_5mg_Injection,Emergency Medicine,2,2027-03-19,2025-09-11,Northeast,MA,Medium,Rural
ST001,Apixaban_100mg_Capsule,Hematology,91,2028-12-12,2025-08-17,Northeast,MA,Medium,Rural
ST001,Furosemide_10mg_Tablet,Cardiovascular,90,2029-06-10,2025-09-06,Northeast,MA,Medium,Rural
ST001,Ciprofloxacin_100mg_Tablet,Infectious Disease,41,2025-10-01,2025-08-26,Northeast,MA,Medium,Rural
ST001,Nilotinib_5mg_Injection,Oncology,28,2026-04-23,2025-09-04,Northeast,MA,Medium,Rural
ST001,Trimethoprim_100mg_Liquid,Infectious Disease,111,2026-07-09,2025-08-26,Northeast,MA,Medium,Rural
ST001,Oxycodone_25mg_Capsule,Pain Management,68,2026-04-12,2025-09-02,Northeast,MA,Medium,Rural
ST001,Acarbose_10mg_Capsule,Endocrine,82,2029-06-14,2025-09-09,Northeast,MA,Medium,Rural
ST001,Anastrozole_25mg_Injection,Oncology,32,2026-04-18,2025-09-08,Northeast,MA,Medium,Rural
ST001,Timolol_10mg_Injection,Ophthalmologic,92,2027-05-27,2025-09-05,Northeast,MA,Medium,Rural
ST001,Carbamazepine_5mg_Tablet,Neurological,60,2026-07-26,2025-09-11,Northeast,MA,Medium,Rural
ST001,Cromolyn_500mg_Liquid,Respiratory,138,2026-08-06,2025-08-21,Northeast,MA,Medium,Rural
ST001,Azathioprine_500mg_Capsule,Immunology,43,2025-09-15,2025-08-14,Northeast,MA,Medium,Rural
ST001,Lithium_200mg_Capsule,Psychiatric,77,2025-10-12,2025-08-24,Northeast,MA,Medium,Rural
ST001,Valproate_500mg_Tablet,Neurological,149,2028-07-28,2025-09-01,Northeast,MA,Medium,Rural
ST001,Dopamine_500mg_Injection,Emergency Medicine,252,2026-05-22,2025-09-07,Northeast,MA,Medium,Rural
ST001,Rosiglitazone_500mg_Tablet,Endocrine,137,2027-08-27,2025-09-01,Northeast,MA,Medium,Rural
ST001,Hydrocodone_500mg_Capsule,Pain Management,83,2026-06-17,2025-09-05,Northeast,MA,Medium,Rural
ST001,Amiodarone_200mg_Liquid,Emergency Medicine,5,2026-04-27,2025-08-14,Northeast,MA,Medium,Rural
ST001,Cetirizine_100mg_Liquid,Pediatric,50,2026-03-22,2025-08-28,Northeast,MA,Medium,Rural
ST001,Fentanyl_10mg_Tablet,Pain Management,169,2025-12-29,2025-08-30,Northeast,MA,Medium,Rural
ST001,Albuterol_50mg_Cream,Respiratory,71,2026-02-23,2025-08-18,Northeast,MA,Medium,Rural
ST001,Tamsulosin_10mg_Capsule,Urology,2,2028-04-12,2025-09-02,Northeast,MA,Medium,Rural
ST001,Amoxicillin_5mg_Cream,Infectious Disease,113,2029-01-22,2025-09-04,Northeast,MA,Medium,Rural
ST001,Anastrozole_50mg_Injection,Oncology,9,2027-06-28,2025-08-23,Northeast,MA,Medium,Rural
ST001,Omeprazole_10mg_Capsule,Gastrointestinal,6,2027-10-07,2025-09-09,Northeast,MA,Medium,Rural
ST001,Vardenafil_25mg_Tablet,Urology,60,2026-02-02,2025-09-03,Northeast,MA,Medium,Rural
ST001,Metronidazole_50mg_Liquid,Dermatological,9,2025-12-23,2025-09-08,Northeast,MA,Medium,Rural
ST001,Prednisolone_50mg_Liquid,Pediatric,110,2026-03-15,2025-08-28,Northeast,MA,Medium,Rural
ST001,Aricept_200mg_Capsule,Geriatric,146,2028-07-11,2025-08-23,Northeast,MA,Medium,Rural
ST001,Finasteride_200mg_Cream,Urology,38,2025-07-16,2025-09-05,Northeast,MA,Medium,Rural
ST001,Epinephrine_50mg_Liquid,Emergency Medicine,435,2025-09-29,2025-09-08,Northeast,MA,Medium,Rural
ST001,Rituximab_200mg_Tablet,Oncology,38,2027-12-30,2025-09-12,Northeast,MA,Medium,Rural
ST001,Sunitinib_25mg_Tablet,Oncology,1,2028-05-03,2025-08-22,Northeast,MA,Medium,Rural
ST001,Tacrolimus_500mg_Injection,Immunology,18,2027-04-08,2025-09-12,Northeast,MA,Medium,Rural
ST001,Hydroxychloroquine_200mg_Tablet,Immunology,50,2027-09-08,2025-09-01,Northeast,MA,Medium,Rural
ST001,Apraclonidine_10mg_Capsule,Ophthalmologic,90,2028-11-07,2025-08-20,Northeast,MA,Medium,Rural
ST001,Atorvastatin_25mg_Tablet,Cardiovascular,272,2027-05-07,2025-09-06,Northeast,MA,Medium,Rural
ST001,Sorafenib_10mg_Injection,Oncology,22,2026-10-12,2025-08-22,Northeast,MA,Medium,Rural
ST001,Azithromycin_Pediatric_50mg_Liquid,Pediatric,135,2026-03-02,2025-08-27,Northeast,MA,Medium,Rural
ST001,Warfarin_100mg_Liquid,Hematology,107,2026-04-07,2025-09-04,Northeast,MA,Medium,Rural
ST001,Esomeprazole_5mg_Liquid,Gastrointestinal,20,2026-04-08,2025-08-21,Northeast,MA,Medium,Rural
ST001,Warfarin_200mg_Injection,Cardiovascular,172,2026-09-15,2025-09-09,Northeast,MA,Medium,Rural
ST001,Sertraline_100mg_Injection,Neurological,37,2026-08-17,2025-09-06,Northeast,MA,Medium,Rural
ST001,Amoxicillin_10mg_Tablet,Infectious Disease,0,2028-03-07,2025-08-23,Northeast,MA,Medium,Rural
ST001,Heparin_500mg_Injection,Hematology,0,2027-06-28,2025-08-24,Northeast,MA,Medium,Rural
ST001,Vasopressin_5mg_Capsule,Emergency Medicine,343,2027-06-23,2025-08-15,Northeast,MA,Medium,Rural
ST001,Trimethoprim_100mg_Capsule,Infectious Disease,32,2026-01-27,2025-08-16,Northeast,MA,Medium,Rural
ST001,Acetaminophen_10mg_Liquid,Pain Management,264,2026-05-04,2025-08-21,Northeast,MA,Medium,Rural
ST001,Calcium_Chloride_200mg_Liquid,Emergency Medicine,10,2026-08-17,2025-09-04,Northeast,MA,Medium,Rural
ST001,Lisinopril_10mg_Tablet,Cardiovascular,166,2028-08-19,2025-08-28,Northeast,MA,Medium,Rural
ST001,Amiodarone_10mg_Liquid,Emergency Medicine,339,2026-03-31,2025-09-05,Northeast,MA,Medium,Rural
ST001,Ipratropium_10mg_Liquid,Respiratory,0,2026-04-03,2025-08-20,Northeast,MA,Medium,Rural
ST001,Tamoxifen_5mg_Capsule,Oncology,17,2028-02-20,2025-09-11,Northeast,MA,Medium,Rural
ST001,Atropine_100mg_Tablet,Emergency Medicine,305,2026-08-26,2025-09-13,Northeast,MA,Medium,Rural
ST001,Mupirocin_10mg_Capsule,Dermatological,76,2027-05-12,2025-08-21,Northeast,MA,Medium,Rural
ST001,Levothyroxine_100mg_Capsule,Endocrine,0,2029-07-12,2025-08-23,Northeast,MA,Medium,Rural
ST001,Ipratropium_100mg_Capsule,Respiratory,40,2028-09-06,2025-08-20,Northeast,MA,Medium,Rural
ST001,Aspirin_200mg_Cream,Hematology,89,2027-07-09,2025-08-14,Northeast,MA,Medium,Rural
ST001,Methylprednisolone_200mg_Tablet,Immunology,13,2029-04-05,2025-08-15,Northeast,MA,Medium,Rural
ST001,Warfarin_25mg_Liquid,Cardiovascular,170,2026-02-01,2025-08-25,Northeast,MA,Medium,Rural
ST001,Galantamine_100mg_Injection,Geriatric,30,2026-12-17,2025-09-12,Northeast,MA,Medium,Rural
ST001,Dipyridamole_50mg_Cream,Hematology,150,2028-11-15,2025-08-28,Northeast,MA,Medium,Rural
ST001,Travoprost_500mg_Injection,Ophthalmologic,123,2027-08-01,2025-08-30,Northeast,MA,Medium,Rural
ST001,Phenytoin_50mg_Injection,Neurological,24,2027-03-24,2025-08-23,Northeast,MA,Medium,Rural
ST001,Aspirin_5mg_Liquid,Pain Management,5,2025-10-14,2025-09-12,Northeast,MA,Medium,Rural
ST001,Tacrolimus_50mg_Cream,Dermatological,1,2026-04-02,2025-09-04,Northeast,MA,Medium,Rural
ST001,Aripiprazole_200mg_Liquid,Psychiatric,7,2026-04-22,2025-08-17,Northeast,MA,Medium,Rural
ST001,Tramadol_50mg_Liquid,Pain Management,284,2026-07-16,2025-09-10,Northeast,MA,Medium,Rural
ST001,Cromolyn_10mg_Tablet,Respiratory,55,2026-07-30,2025-09-13,Northeast,MA,Medium,Rural
ST001,Codeine_25mg_Tablet,Pain Management,0,2027-07-16,2025-08-31,Northeast,MA,Medium,Rural
ST001,Ibuprofen_Pediatric_50mg_Cream,Pediatric,146,2028-06-12,2025-08-15,Northeast,MA,Medium,Rural
ST001,Albuterol_Pediatric_5mg_Injection,Pediatric,0,2027-02-14,2025-08-16,Northeast,MA,Medium,Rural
ST001,Moxifloxacin_5mg_Cream,Infectious Disease,10,2026-01-19,2025-08-17,Northeast,MA,Medium,Rural
ST001,Tamoxifen_500mg_Injection,Oncology,8,2026-08-08,2025-08-20,Northeast,MA,Medium,Rural
ST001,Dasatinib_5mg_Injection,Oncology,8,2026-08-08,2025-09-03,Northeast,MA,Medium,Rural
ST001,Rivastigmine_200mg_Capsule,Geriatric,92,2029-07-26,2025-09-05,Northeast,MA,Medium,Rural
ST001,Albuterol_Pediatric_50mg_Injection,Pediatric,25,2026-06-09,2025-08-29,Northeast,MA,Medium,Rural
ST001,Azithromycin_Pediatric_100mg_Liquid,Pediatric,22,2026-04-26,2025-08-31,Northeast,MA,Medium,Rural
ST001,Finasteride_500mg_Cream,Urology,114,2028-11-17,2025-09-04,Northeast,MA,Medium,Rural
ST001,Rituximab_100mg_Tablet,Oncology,50,2026-03-10,2025-08-27,Northeast,MA,Medium,Rural
ST001,Simvastatin_500mg_Liquid,Cardiovascular,185,2025-09-28,2025-08-17,Northeast,MA,Medium,Rural
ST001,Lidocaine_5mg_Injection,Emergency Medicine,289,2026-06-25,2025-08-25,Northeast,MA,Medium,Rural
ST001,Pioglitazone_500mg_Tablet,Endocrine,0,2026-04-10,2025-08-21,Northeast,MA,Medium,Rural
ST001,Epinephrine_50mg_Injection,Emergency Medicine,443,2026-11-17,2025-09-07,Northeast,MA,Medium,Rural
ST001,Fluoxetine_100mg_Cream,Psychiatric,8,2027-03-23,2025-09-01,Northeast,MA,Medium,Rural
ST001,Azathioprine_500mg_Cream,Immunology,20,2027-12-31,2025-09-04,Northeast,MA,Medium,Rural
ST001,Calcipotriene_100mg_Liquid,Dermatological,76,2026-06-08,2025-08-29,Northeast,MA,Medium,Rural
ST001,Haloperidol_10mg_Tablet,Psychiatric,91,2028-03-08,2025-08-21,Northeast,MA,Medium,Rural
ST001,Sorafenib_50mg_Liquid,Oncology,0,2026-07-23,2025-08-31,Northeast,MA,Medium,Rural
ST001,Clopidogrel_10mg_Injection,Hematology,85,2027-01-04,2025-08-27,Northeast,MA,Medium,Rural
ST001,Ketoconazole_500mg_Liquid,Dermatological,96,2026-09-06,2025-08-21,Northeast,MA,Medium,Rural
ST001,Donepezil_XR_10mg_Liquid,Geriatric,100,2026-06-20,2025-08-24,Northeast,MA,Medium,Rural
ST001,Solifenacin_5mg_Cream,Urology,25,2026-04-13,2025-08-20,Northeast,MA,Medium,Rural
ST001,Latanoprost_500mg_Tablet,Ophthalmologic,11,2027-02-28,2025-09-07,Northeast,MA,Medium,Rural
ST001,Vasopressin_500mg_Liquid,Emergency Medicine,10,2025-10-01,2025-08-27,Northeast,MA,Medium,Rural
ST001,Tramadol_5mg_Injection,Pain Management,0,2027-06-07,2025-09-04,Northeast,MA,Medium,Rural
ST001,Benzoyl_Peroxide_500mg_Liquid,Dermatological,14,2026-05-21,2025-09-10,Northeast,MA,Medium,Rural
ST001,Rosiglitazone_500mg_Tablet,Endocrine,4,2029-05-04,2025-09-05,Northeast,MA,Medium,Rural
ST001,Ciprofloxacin_10mg_Cream,Infectious Disease,0,2028-02-21,2025-08-22,Northeast,MA,Medium,Rural
ST001,Tacrolimus_5mg_Injection,Immunology,19,2026-03-04,2025-08-20,Northeast,MA,Medium,Rural
ST001,Enoxaparin_5mg_Injection,Hematology,18,2027-06-30,2025-08-22,Northeast,MA,Medium,Rural
ST001,Imatinib_500mg_Injection,Oncology,15,2026-11-16,2025-09-10,Northeast,MA,Medium,Rural
ST001,Haloperidol_25mg_Cream,Psychiatric,145,2025-09-16,2025-08-23,Northeast,MA,Medium,Rural
ST001,Dorzolamide_200mg_Cream,Ophthalmologic,81,2026-01-18,2025-09-13,Northeast,MA,Medium,Rural
ST001,Cyclosporine_25mg_Cream,Immunology,18,2028-02-05,2025-08-26,Northeast,MA,Medium,Rural
ST001,Clindamycin_100mg_Tablet,Infectious Disease,71,2029-08-29,2025-08-20,Northeast,MA,Medium,Rural
ST001,Simvastatin_5mg_Cream,Cardiovascular,239,2026-04-21,2025-09-12,Northeast,MA,Medium,Rural
ST001,Phenytoin_200mg_Tablet,Neurological,35,2027-10-10,2025-08-25,Northeast,MA,Medium,Rural
ST001,Tretinoin_25mg_Capsule,Dermatological,111,2029-06-02,2025-08-29,Northeast,MA,Medium,Rural
ST001,Nilotinib_100mg_Tablet,Oncology,19,2028-04-14,2025-09-01,Northeast,MA,Medium,Rural
ST001,Furosemide_500mg_Liquid,Cardiovascular,71,2026-02-16,2025-09-09,Northeast,MA,Medium,Rural
ST001,Tadalafil_10mg_Capsule,Urology,107,2028-01-18,2025-09-13,Northeast,MA,Medium,Rural
ST001,Levetiracetam_200mg_Cream,Neurological,88,2026-06-09,2025-08-30,Northeast,MA,Medium,Rural
ST001,Cephalexin_50mg_Liquid,Infectious Disease,6,2026-07-23,2025-09-03,Northeast,MA,Medium,Rural
ST001,Acetaminophen_Pediatric_5mg_Capsule,Pediatric,0,2028-03-08,2025-08-16,Northeast,MA,Medium,Rural
ST001,Budesonide_100mg_Tablet,Respiratory,72,2027-12-31,2025-09-05,Northeast,MA,Medium,Rural
ST001,Exelon_100mg_Capsule,Geriatric,136,2027-05-31,2025-09-11,Northeast,MA,Medium,Rural
ST001,Ciprofloxacin_50mg_Cream,Infectious Disease,102,2029-05-15,2025-08-30,Northeast,MA,Medium,Rural
ST001,Moxifloxacin_25mg_Tablet,Infectious Disease,7,2027-09-23,2025-08-17,Northeast,MA,Medium,Rural
ST001,Albuterol_50mg_Cream,Respiratory,94,2029-07-07,2025-09-03,Northeast,MA,Medium,Rural
ST001,Mycophenolate_50mg_Capsule,Immunology,43,2027-08-17,2025-09-03,Northeast,MA,Medium,Rural
ST001,Ziprasidone_5mg_Tablet,Psychiatric,84,2029-02-03,2025-09-05,Northeast,MA,Medium,Rural
ST001,Rivaroxaban_25mg_Liquid,Hematology,110,2026-01-23,2025-08-23,Northeast,MA,Medium,Rural
ST001,Salmeterol_100mg_Capsule,Respiratory,0,2028-06-14,2025-08-19,Northeast,MA,Medium,Rural
ST001,Donepezil_XR_500mg_Injection,Geriatric,7,2027-05-07,2025-09-05,Northeast,MA,Medium,Rural
ST001,Aspirin_500mg_Injection,Pain Management,218,2027-01-02,2025-08-29,Northeast,MA,Medium,Rural
ST001,Travoprost_100mg_Cream,Ophthalmologic,112,2028-03-17,2025-09-02,Northeast,MA,Medium,Rural
ST001,Lansoprazole_50mg_Capsule,Gastrointestinal,147,2026-06-23,2025-09-02,Northeast,MA,Medium,Rural
ST001,Timolol_500mg_Tablet,Ophthalmologic,7,2027-09-22,2025-09-13,Northeast,MA,Medium,Rural
ST001,Apraclonidine_5mg_Injection,Ophthalmologic,35,2027-05-27,2025-09-06,Northeast,MA,Medium,Rural
ST001,Ceftriaxone_500mg_Cream,Pediatric,124,2029-09-03,2025-09-02,Northeast,MA,Medium,Rural
ST001,Levothyroxine_100mg_Capsule,Endocrine,56,2026-05-06,2025-09-09,Northeast,MA,Medium,Rural
ST001,Tretinoin_500mg_Tablet,Dermatological,99,2027-01-09,2025-09-10,Northeast,MA,Medium,Rural
ST001,Losartan_200mg_Injection,Cardiovascular,162,2026-02-18,2025-09-10,Northeast,MA,Medium,Rural
ST001,Benzoyl_Peroxide_50mg_Cream,Dermatological,15,2029-08-29,2025-08-21,Northeast,MA,Medium,Rural
ST001,Amlodipine_100mg_Tablet,Cardiovascular,112,2027-09-20,2025-09-06,Northeast,MA,Medium,Rural
ST001,Quetiapine_50mg_Liquid,Psychiatric,113,2026-05-22,2025-08-16,Northeast,MA,Medium,Rural
ST001,Glipizide_10mg_Liquid,Endocrine,100,2025-10-15,2025-08-20,Northeast,MA,Medium,Rural
ST001,Razadyne_100mg_Capsule,Geriatric,26,2028-11-15,2025-08-30,Northeast,MA,Medium,Rural
ST001,Anastrozole_5mg_Liquid,Oncology,12,2026-07-10,2025-09-01,Northeast,MA,Medium,Rural
ST001,Dopamine_25mg_Cream,Emergency Medicine,6,2028-06-06,2025-08-22,Northeast,MA,Medium,Rural
ST001,Norepinephrine_10mg_Capsule,Emergency Medicine,252,2029-08-19,2025-09-04,Northeast,MA,Medium,Rural
ST001,Mupirocin_25mg_Liquid,Dermatological,39,2026-07-01,2025-08-26,Northeast,MA,Medium,Rural
ST001,Tacrolimus_200mg_Cream,Dermatological,108,2028-11-16,2025-09-08,Northeast,MA,Medium,Rural
ST001,Tacrolimus_25mg_Tablet,Immunology,40,2026-11-30,2025-09-12,Northeast,MA,Medium,Rural
ST001,Apixaban_200mg_Liquid,Hematology,101,2026-01-20,2025-08-28,Northeast,MA,Medium,Rural
ST001,Rituximab_500mg_Tablet,Oncology,46,2028-03-12,2025-09-08,Northeast,MA,Medium,Rural
ST001,Atorvastatin_10mg_Cream,Cardiovascular,71,2027-02-06,2025-08-27,Northeast,MA,Medium,Rural
ST001,Tamsulosin_500mg_Capsule,Urology,83,2028-08-22,2025-09-10,Northeast,MA,Medium,Rural
ST001,Formoterol_25mg_Cream,Respiratory,78,2027-12-03,2025-08-20,Northeast,MA,Medium,Rural
ST001,Methylprednisolone_100mg_Capsule,Immunology,33,2026-06-09,2025-09-06,Northeast,MA,Medium,Rural
ST001,Morphine_100mg_Tablet,Pain Management,5,2027-10-26,2025-08-17,Northeast,MA,Medium,Rural
ST001,Sitagliptin_200mg_Liquid,Endocrine,80,2026-08-10,2025-08-25,Northeast,MA,Medium,Rural
ST001,Methotrexate_500mg_Liquid,Immunology,45,2026-01-26,2025-08-26,Northeast,MA,Medium,Rural
ST001,Rosiglitazone_50mg_Tablet,Endocrine,139,2026-10-22,2025-09-04,Northeast,MA,Medium,Rural
ST001,Ondansetron_10mg_Injection,Gastrointestinal,78,2026-03-19,2025-08-31,Northeast,MA,Medium,Rural
ST001,Nilotinib_10mg_Injection,Oncology,8,2026-04-20,2025-09-09,Northeast,MA,Medium,Rural
ST001,Imatinib_25mg_Injection,Oncology,50,2027-01-18,2025-09-05,Northeast,MA,Medium,Rural
ST001,Mirabegron_5mg_Liquid,Urology,2,2026-05-07,2025-08-15,Northeast,MA,Medium,Rural
ST001,Dorzolamide_500mg_Injection,Ophthalmologic,104,2025-04-09,2025-08-21,Northeast,MA,Medium,Rural
ST001,Glipizide_500mg_Tablet,Endocrine,298,2027-11-15,2025-09-01,Northeast,MA,Medium,Rural
ST001,Adalimumab_500mg_Injection,Immunology,18,2027-05-02,2025-09-03,Northeast,MA,Medium,Rural
ST001,Donepezil_XR_200mg_Injection,Geriatric,150,2027-04-22,2025-08-20,Northeast,MA,Medium,Rural
ST001,Vardenafil_10mg_Tablet,Urology,0,2029-05-17,2025-09-10,Northeast,MA,Medium,Rural
ST001,Valproate_50mg_Liquid,Neurological,7,2026-01-24,2025-08-16,Northeast,MA,Medium,Rural
ST001,Ibuprofen_10mg_Liquid,Pain Management,216,2026-03-02,2025-09-11,Northeast,MA,Medium,Rural
ST001,Formoterol_100mg_Capsule,Respiratory,105,2026-02-26,2025-08-22,Northeast,MA,Medium,Rural
ST001,Oxybutynin_5mg_Tablet,Urology,2,2025-10-02,2025-09-06,Northeast,MA,Medium,Rural
ST001,Latanoprost_10mg_Tablet,Ophthalmologic,6,2026-07-16,2025-09-09,Northeast,MA,Medium,Rural
ST001,Tolterodine_5mg_Cream,Urology,0,2028-01-05,2025-09-10,Northeast,MA,Medium,Rural
ST001,Solifenacin_10mg_Liquid,Urology,90,2026-04-26,2025-09-09,Northeast,MA,Medium,Rural
ST001,Prednisone_10mg_Capsule,Immunology,9,2025-08-30,2025-09-08,Northeast,MA,Medium,Rural
ST001,Gabapentin_10mg_Tablet,Neurological,122,2026-09-18,2025-08-30,Northeast,MA,Medium,Rural
ST001,Hydrocodone_5mg_Liquid,Pain Management,270,2025-12-23,2025-09-01,Northeast,MA,Medium,Rural
ST001,Dopamine_200mg_Capsule,Emergency Medicine,279,2026-08-25,2025-09-06,Northeast,MA,Medium,Rural
ST001,Theophylline_500mg_Cream,Respiratory,82,2029-07-22,2025-08-25,Northeast,MA,Medium,Rural
ST001,Sucralfate_50mg_Cream,Gastrointestinal,140,2029-06-27,2025-08-14,Northeast,MA,Medium,Rural
ST001,Acarbose_50mg_Liquid,Endocrine,8,2026-09-04,2025-09-13,Northeast,MA,Medium,Rural
ST001,Ipratropium_500mg_Capsule,Respiratory,10,2028-03-22,2025-08-20,Northeast,MA,Medium,Rural
ST001,Ranitidine_200mg_Cream,Gastrointestinal,130,2025-09-20,2025-09-12,Northeast,MA,Medium,Rural
ST001,Pregabalin_5mg_Cream,Neurological,25,2027-06-21,2025-08-31,Northeast,MA,Medium,Rural
ST001,Salmeterol_50mg_Capsule,Respiratory,9,2028-11-17,2025-09-04,Northeast,MA,Medium,Rural
ST001,Namenda_100mg_Liquid,Geriatric,30,2025-12-31,2025-08-24,Northeast,MA,Medium,Rural
ST001,Glipizide_25mg_Cream,Endocrine,245,2026-03-27,2025-08-14,Northeast,MA,Medium,Rural
ST001,Salmeterol_200mg_Liquid,Respiratory,0,2025-11-26,2025-08-25,Northeast,MA,Medium,Rural
ST001,Clozapine_200mg_Liquid,Psychiatric,24,2026-01-10,2025-08-22,Northeast,MA,Medium,Rural
ST001,Quetiapine_10mg_Injection,Psychiatric,12,2027-05-31,2025-09-05,Northeast,MA,Medium,Rural
ST001,Escitalopram_200mg_Liquid,Psychiatric,52,2026-02-27,2025-08-16,Northeast,MA,Medium,Rural
ST001,Moxifloxacin_500mg_Cream,Infectious Disease,17,2028-10-19,2025-08-26,Northeast,MA,Medium,Rural
ST001,Erythromycin_10mg_Liquid,Infectious Disease,29,2025-11-10,2025-09-02,Northeast,MA,Medium,Rural
ST001,Theophylline_25mg_Injection,Respiratory,10,2026-04-09,2025-09-12,Northeast,MA,Medium,Rural
ST001,Adapalene_200mg_Injection,Dermatological,13,2027-01-08,2025-08-14,Northeast,MA,Medium,Rural
ST001,Namenda_50mg_Injection,Geriatric,19,2027-02-14,2025-08-15,Northeast,MA,Medium,Rural
ST001,Risperidone_25mg_Injection,Psychiatric,6,2026-04-13,2025-09-08,Northeast,MA,Medium,Rural
ST001,Dabigatran_100mg_Capsule,Hematology,67,2028-02-11,2025-09-04,Northeast,MA,Medium,Rural
ST001,Cephalexin_500mg_Tablet,Infectious Disease,89,2025-11-28,2025-08-19,Northeast,MA,Medium,Rural
ST001,Amoxicillin_100mg_Tablet,Infectious Disease,87,2027-12-06,2025-08-20,Northeast,MA,Medium,Rural
ST001,Namenda_200mg_Liquid,Geriatric,60,2026-02-15,2025-09-13,Northeast,MA,Medium,Rural
ST001,Ibuprofen_Pediatric_500mg_Capsule,Pediatric,69,2025-10-05,2025-09-01,Northeast,MA,Medium,Rural
ST001,Acetaminophen_Pediatric_200mg_Cream,Pediatric,88,2027-03-14,2025-09-09,Northeast,MA,Medium,Rural
